Title,Instructor,Keywords,Learn,Description,course_id
House Price Prediction,krish naik,House Price Prediction,"Real Time Projects, House Price Prediction, Preparing Dataset And Basic Analysis, Preparing Dataset For Model Training, Training the Model, Performance Metrics, Creating A Flask Web Application, Deployment","The selling price of a property in a specific area can be determined with the use of house price predictions, and consumers can choose the ideal moment to purchase a home. In this project, ""House Price Prediction Using Machine Learning,"" our goal is to develop a machine learning model to forecast house prices in the State of California using data from the census.",15
MLFlow Production Server Setup,Ketan Gangal,MLFlow Production Server Setup,"Real Time Projects, Mlflow production server setup, Understand MLOPS best practices, Understand  Aws cloud ec2 and mysql, Setup Mlflow server in production , Understand authentication with nginx, Get hands on with server setup","MLflow is an open-source platform for machine learning lifecycle management. In this course, we will learn how to setup MLflow server in production with Mysql as the backend store and an s3 bucket as artifact registry.",16
Sensor Fault Prediction,Avnish Yadav,Sensor Fault Prediction,"Real Time Projects, Sensor Fault Prediction, Understand MLOPS best practices, EDA and Feature engineering on sensors reading generated by vehicle air pressure system, Industry standard Machine Learning development, Implementation of Continuous Training, Deploying Machine Learning Model as an endpoint API, Continous Monitoring, Model Management","The Air Pressure System (APS) is a critical component of a heavy-duty vehicle that uses compressed air to force a piston to provide pressure to the brake pads, slowing the vehicle down. The benefits of using an APS instead of a hydraulic system are the easy availability and long-term sustainability of natural air. This is a Binary Classification problem, in which the affirmative class indicates that the failure was caused by a certain component of the APS, while the negative class indicates that the failure was caused by something else.",17
Text Summarization,Bharath J P V ,Text Summarization,"Real Time Projects, Text Summarization, Understand best coding practice in modular way, How to use Pre-Trained model from hugging face, How to Fine tune a pretrained model, Create a custom dataset and dataloader for faster loading of the data, Use Training pipeline and Prediction pipeline along with CICD to GCP",This is an advanced NLP project where we take news data from several sources and use Transformer models from HuggingFace and Fine tune it to generate news summary from complete news.,18
The Ultimate Guide To OpenAI GPT-3 & Fine Tune with Custom Data,Boktiar Ahmed Bappy,The Ultimate Guide To OpenAI GPT-3 & Fine Tune with Custom Data,"Real Time Projects, OpenAI GPT-3 & Fine Tune with Custom data, What is GPT-3? , Demo: Build a paraphraser, Chatbot, Summarization, OpenAI playground to develop prompts. , Understand various engines and GPT-3 prompt parameters. , Create novel datasets with GPT-3 and Streamlit UI. , Zero-shot and few-shot prompts., Fine tuning GPT3 ","Generative Pre-trained Transformer 3 (GPT-3; stylized GPT·3) is an autoregressive language model that uses deep learning to produce human-like text. Given an initial text as prompt, it will produce text that continues the prompt. The architecture is a standard transformer network (with a few engineering tweaks) with the unprecedented size of 2048-token-long context and 175 billion parameters (requiring 800 GB of storage). The training method is """"generative pretraining"""", meaning that it is trained to predict what the next token is. The model demonstrated strong few-shot learning on many text-based tasks.",19
Industry Safety Detection using YOLO v7,Boktiar Ahmed Bappy,Industry Safety Detection using YOLO v7,"Real Time Projects, Industry Safety Detection using YOLO v7, Object detection with YOLO v7, Data Annotation, How to work with Docker, Modular coding approach for training and prediction pipeline , Building Flask app, Learn about AWS basics, CICD tools like Github actions , Production-grade deployment","The purpose of this project is to create a detection system using Computer Vision and Machine Learning to monitor, track and enforce employees/workers to wear the necessary protection gear. ISD is designed and modeled to take a real-time image of the personnel as the input and determine if the five segments - helmet, gloves, jacket, goggles, and footwear are worn before entering the workplace, and record the procedures as well. If ISD does not find any of the safety gears, the worker will not be allowed to proceed and the prohibition alarm in the system will alert the authorities",20
Shipment Price Prediction,Boktiar Ahmed Bappy,Shipment Price Prediction,"Real Time Projects, Shipment Price Prediction, Learn about Regression model implementation, Hyperparameter optimization, How to work with database, Modular coding approach for training and prediction pipeline along with FastAPI , Learn about AWS basics , CICD tools like Github actions , Production-grade deployment","In this data science project, you will build a machine learning system that will be able to predict the cost of the shipment or package by using machine learning algorithms. This project will be very useful for logistics companies, where on a day-to-day basis a lot of couriers, packages, or goods are transported via different modes of transport. The main concern with these logistics companies is trying to deliver these goods in an efficient and cost-efficient way possible, so the pricing of the shipment is tricky and involves a lot of variables to consider while the pricing of the shipment. There might be scenarios where the shipment might be delayed due to some external reasons, leading to a loss for the company and a delay in delivery of the shipment. So logistics companies need to use dynamic pricing based on several factors and variables to price the shipment in such a way that there are no losses to the company and the price of the shipment is as less as possible so that customers can use their services more due to effective pricing rates.",21
Finance Complaint,Avnish Yadav,Finance Complaint,"Real Time Projects, Finance Complaint, Understand MLOPS best practices, EDA and Feature engineering on Financial Complaint registered by customers., Industry standard Machine Learning development, Implementation of Continuous Training, Deploying Machine Learning Model as an endpoint API, Continous Monitoring and Model Management, ML training using Spark on more than 3 Millions records.","By taking into account the complaints already made against financial products, we may develop a machine learning (ML) model that can help us determine if freshly made complaints are troublesome or not, allowing the business to move swiftly to address the problem and meet the needs of the consumer.",22
Deep Authenticator,Rishav Dash,Deep Authenticator,"Real Time Projects, Deep Authenticator, Authentication and Authorization , MTCNN, FaceNet, FastAPI, Azure Container Registry and Azure App Service, GitHub Actions CI/CD","In this project, you will build a two-stage authentication system. We would be using state-of-art algorithms like FaceNet and MTCNN to build this project.",23
Language Identification,Aravind S,Language Identification,"Real Time Projects, Language Identification, Audio preprocessing steps to build, Train and evaluate Deep learning models in PyTorch , Creating custom PyTorch dataset and dataloader, Use convolution neural network for audio classification., Modular coding approach for training and prediction pipeline, Building Flask App, Learn about GCP basics, CICD tool like Github Actions for deployment","This is an audio classification project in which we will use Pytorch for audio processing and CNN for audio classification. We will use Indian language audio data from four classes, Hindi, Tamil, Telugu, and Kannada, and predict the language spoken in the audio.",24
Sign Language Detection,Boktiar Ahmed Bappy,Sign Language Detection,"Real Time Projects, Sign Language Detection, Object detection with YOLO v5, Creating custom dataset using OpenCV, How to work with bash cmd & Docker, Modular coding approach for training and prediction pipeline along with Flask app, Learn about AWS , Basics of CICD tools, Github Actions for Production-grade deployment",The main point of this application is to use the camera to recognize gestures from the sign language to offer a new means of communication. The program will be able to transcribe gestures done by dumb people into written words printed on the screen.,25
Text To Speech,Rishav Dash,Text To Speech,"Real Time Projects, Text To Speech, Implementation Python oops concepts., Modular Coding , gTTS, Flask","This is a Python project for converting text to speech in English with various accents. We will create a script that will make use of the gTTS library. The code will be written in a modular way, with a good user end point application.",26
Face Swap Application,Bharath J P V ,Face Swap Application,"Real Time Project, Python, Open-CV, dlib, Image handling in Python","In this project, we will learn about how to use dlib facial landmark detector to extract the facial features Create the mask using the convex hull of the points extracted. Replace the mask of two images and do a seamless cloning of the image to blend in the color grade.",27
Full Stack Data Science Nov'21 Tech Neuron,krish naik,Full Stack Data Science Nov'21 Tech Neuron,"Python, Stats, Machine learning, Deep learning, Computer vision, Natural language processing, Data analytics, Big data, Architecture, Databases","This is a full stack data science self-paced course with recordings of  live mentor-led classes and a full-time one-year internship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in the data science, data analytics, and big data industries, including machine learning operations and cloud infrastructure, as well as real-time industry project and product development with the iNeuron product development team, and you will contribute on various levels.",28
Full Stack Data Science Feb'21 Tech Neuron,Sunny Bhaveen Chandra,Full Stack Data Science Feb'21 Tech Neuron,"Python, Stats, Machine learning, Deep learning, Computer vision, Natural language processing, Data analytics, Big data, Cloud, Architecture, Databases","This is a full stack data science self-paced course with recordings of live mentor-led certification program and a full-time one-year internship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in the data science, data analytics, and big data industries, including machine learning operations and cloud infrastructure, as well as real-time industry project and product development with the iNeuron product development team, and you will contribute on various levels.",29
Machine Learning Bootcamp Tech Neuron,krish naik,Machine Learning Bootcamp Tech Neuron,"Python, APIs, Databases, Python projects, Numpy, Pandas, Visualizations, Stats, Supervised Machine learning Algorithms, Unsupervised Machine learning Algorithms, Dimensionality Reduction, Machine Learning Projects, Deep learning, PowerBI, Tableau, Chatbots","In this Machine Learning Bootcamp you will learn technologies like Python, API, database, statistics, ML algorithms, deployment of ML models in various cloud platforms, and all machine learning algorithms. You will also learn about chatbots like Dialogflow, Amazon Lex, Azure Luis & RASA NLU. 15+ live projects are included to make your journey interesting from Zero to ML Engineer.",30
Manual Testing Kickstart,Kiran Sahu,Manual Testing Kickstart,"Basics of Testing, Principles Of Testing, SDLC, Waterfall, Spiral, Test Estimation & Test Management, TestCase Development, Testing Types, Testing Techniques","The goal of this course is to learn the fundamental ideas and methods of Software Testing. Software testing Basics, SDLC Models,  Waterfall, V, Spiral, and Agile model, STLC, Phases & Types of Testing, Black Box  & White Box Testing, Smoke & Sanity Testing, Regression & Retesting will all be covered in the training. You will learn about, Test Planning, Test case identification & Creation, Test case execution, Bug Management, and Bug Tracking tools like Jira, and Test Reporting.MySQL for backend data validation will also be covered.",31
Machine Learning Bootcamp,krish naik,Machine Learning Bootcamp,"Python, APIs, Databases, Python projects, Numpy, Pandas, Visualizations, Stats, Supervised Machine learning Algorithms, Unsupervised Machine learning Algorithms, Dimensionality Reduction, Machine Learning Projects, Deep learning, PowerBI, Tableau, Chatbots","In this Machine Learning Bootcamp you will learn technologies like Python, API, database, statistics, ML algorithms, deployment of ML models in various cloud platforms, and all machine learning algorithms. You will also learn about chatbots like Dialogflow, Amazon Lex, Azure Luis & RASA NLU. 15+ live projects are included to make your journey interesting from Zero to ML Engineer.",32
Azure Machine Learning DP 100,,Azure Machine Learning DP 100,"Create the AzureML Workspace, Create a Dataset, Explore the AzureML Dataset, Understanding the AzureML Compute Resources, Deploy a real-time endpoint using Designer, Consume Model, Access Workspace, Datastore and Datasets using SDK, Pandas Dataframe and AzureML Dataset conversions, Upload local data to storage account via datastore, Simple Python Script in Designer, Execute Python Script using Zip Bundle","This course is designed for data scientists who want to develop and manage machine learning solutions on the cloud and who already have some familiarity with Python and machine learning frameworks like Scikit-Learn, PyTorch, and Tensorflow. In this course, students will learn how to build comprehensive Microsoft Azure solutions.",33
Informatica Cloud (IICS),,Informatica Cloud (IICS),"What is Cloud Computing, What is Cloud Computing, Power Center on-premise vs Informatica cloud, Power Center on cloud vs Informatica cloud, Informatica Cloud Architecture, Informatica Cloud Connectivity and Secure Agent, Quick Overview of Data Integration Service, Quick Overview of Administration Service, Quick Overview of Monitor Service, set up salesforce connection, set up big query connection, set up snowflake connection, set up Amazon S3 connection, Mapping Task Properties in IICS, Mapping Task Demo, Synchronization Task in IICS","A platform and data integration tool that uses software as a service is called Informatica Cloud (SaaS). Databases, flat files, file feeds, on-premises, cloud-based apps, and even social networking sites can all be accessed through Informatica Cloud connections. You will learn how to get started with Informatica Cloud through this program.",34
"DSA in C++, Competitive Programming & IOT in Hindi",Prateek Jain,"DSA in C++, Competitive Programming & IOT in Hindi","Arrays, Linked List, Stack & Queue, Tree, Graph, Sorting Algorithm, Divide and Conquer, Greedy Algorithms, Dynamic Programming, IOT, IOT Projects, Competitive Programming Problems","You can easily learn the DSA principles in this course thanks to its instructional design. You will learn how to understand data structures and algorithms in this course, as well as how to nail product interviews. You can start your career as a software developer with this program.",35
Teradata,Khushali Shah,Teradata,"Module Overview, What is Teradata?, Teradata installation, Teradata architecture, Teradata dataTypes, Teradata Tables, Teradata data manipulation, Teradata order by, Teradata functions, Teradata join, Teradata compression, Teradata explain command, Teradata join index, Teradata view join","With the help of data management technologies, businesses can enhance their results utilizing Teradata, an open and scalable database management system. To streamline their operations, a variety of industries including manufacturing, healthcare, and transportation use this method. This fundamental course of Teradata will help you to get started and build strong foundations.",36
Full Stack Data Analytics 2.0,krish naik,"Full Stack Data Analytics Course 2.0, Full Stack Data Analytics Certification Course, Data Analytics Course Online ","MySQL, Basic Charts in Power BI, Working with Maps, Slicers in Power BI, Cards and Filters, Power Query, M Language, Tableau, SQL, Python, Statistics, Excel, Informatica Cloud (IICS)","The full-stack data analytics course is meant to assist you in becoming a skilled data analyst. Learn how to deal with SQL databases, develop data visualizations, and apply predictive analytics and statistics in a corporate environment using the best analytics tools and methodologies. This Full Stack Data Analytics course is designed to provide students with a comprehensive understanding of data analytics and how to use data to drive business decisions. Throughout the course, students will learn the skills necessary to collect, process, analyze, and communicate data effectively. In this course, students will be introduced to the fundamentals of data analytics, including data cleaning, exploration, and visualization. They will also learn about probability and statistics, and how to apply statistical concepts to analyze data. Students will also learn about data modeling and how to use predictive modeling techniques to forecast future trends. They will learn about regression, time-series analysis, and other statistical techniques used for data modeling. By the end of this course, students will have a strong foundation in data analytics and will be equipped with the skills and knowledge needed to work with data in a wide range of industries. They will also have a portfolio of projects to showcase their skills to potential employers.",37
Full-Stack Data Science,krish naik,Full-Stack Data Science,"Python, Stats, Machine learning, Deep learning, Computer vision, Natural language processing, Data analytics, Big data, Ml ops, Cloud, Data structure and algorithm, Architecture, Domain wise project, Databases, Negotiations skills, Mock interview, Interview preparation, Resume building after every module","This full-stack data science course with a certification program and a full-time one-year internship provided by iNeuron intelligence private limited, where you will learn all the stack required to work in the data science, data analytics, and big data industries, including machine learning operations and cloud infrastructure, as well as real-time industry project and product development with the iNeuron product development team, and you will contribute on various levels.",38
Job Guaranteed BigData Bootcamp 2.0,Sudhanshu Kumar,Job Guaranteed Big Data Bootcamp 2.0 Course ,"No Local installation - Premium Big Data Labs Included, Big Data, Hadoop, HDFS, YARN, Map-Reduce, Linux Commands, DBMS, MySQL, Complete SQL , Apache Hive, Apache Sqoop, Data Warehousing, NoSQL Databases, Apache Hbase, Cassandra, Neo4J, MongoDB, Confluent Kafka, Python Programming, Apache Spark, Airflow, BigData On Cloud, AWS, GCP, Azure, Tableau, PowerBI, Batch Data Pipelines, Real Time Data Pipelines","By using the tools and processes that big data scientists and engineers use on a daily basis, you will be intelligent enough to understand the insights that big data may offer. With a general understanding of how large data is arranged, examined, and evaluated, you can make better business judgments. This unique industry program will help to learn the entire stack of Big Data and be ready to crack jobs in leading organizations. This Big Data course is designed to provide students with a comprehensive understanding of big data technologies and how to process and analyze large datasets. Throughout the course, students will learn the skills necessary to work with big data, including distributed computing, data storage, and processing frameworks.

Students will be introduced to big data fundamentals, including Hadoop, Spark, and MapReduce. They will learn about the architecture and components of Hadoop, including HDFS, YARN, and MapReduce, and how to use Hadoop to process and analyze large datasets. Students will also learn about distributed computing and how to use Spark to process large datasets. They will learn about Spark's architecture, components, and APIs, and how to use Spark for data processing, machine learning, and real-time analytics.By the end of this course, students will have a strong foundation in big data technologies and be equipped with the skills and knowledge needed to work with large datasets in various industries. They will also have a portfolio of projects to showcase their skills to potential employers.",39
Web Automation Using Selenium Community Class,,Web Automation Using Selenium Community Class,"Getting Started With Automation Testing - Orientation Program, Roadmap to learn Automation Testing, Different tools for automation in each category, Web Automation using Selenium, Interacting with Web Elements, Automating Web Application End-to-End Scenarios Using Selenium","In this course you will learn automation testing using Selenium. Selenium is one of the testing suite which has different components Selenium WebDriver, Selenium IDE, Selenium Grid. During this course, you will learn how to automate web application using Selenium 4. You can automate Smoke test,Regression test and end to end test cases.",40
Pre Ethical Hacking Community Class,Mukesh Kumar Rao,Pre Ethical Hacking Community Class,"Information Gathering, Scanning Networks, Gaining Access, Malware Introductory, Maintaining Access, Be Anonymous on Internet, Ethical Hacker in Enterprise, Protocols and Roles for Ethical Hacker in an Organisation, Case Studies on Project at Organization, Bug Bounty is good career options or not?","Worried about getting into Cyber Security Career, if you are from Non-technical background or even technical background and want to switch your career to Cyber Security. So join with me in community class to boost your future proof career in Cyber Security.",41
TypeScript Crash Course,Hitesh Choudhary,TypeScript Crash Course,"Basics of Typescript, Installation of TypeScript",Grab the fundamentals of TypeScript through this crash course. This course helps you to get started with Typescript.,42
Full Stack JavaScript Bootcamp 2.0,Hitesh Choudhary,Full Stack JavaScript Bootcamp 2.0,"HTML and DOM, Starting with CSS, Working on coming soon template, Mobile responsive webpages, Register a new account, CSS animation and libraries, Flexbox in CSS, Projects- HTML & CSS, JavaScript Refresher, Project - JavaScript, JavaScript interview questions, Create a react template, Getting friendly with states, Building a Tic Tac Toe, Learn React Context API with projects, Making Project with Nodejs, Getting Started with Reactive Native, Making Project in React Native","Learn everything about JavaScript with React, Nodejs, MongoDB,  React Native, Tailwind, etc. Build industry-ready projects for web and mobile.",43
Java Community Class,Hyder Abbas,Java Community Class,"Variables and Operators, Conditional statements and Loops, Arrays, Class and Objects, Inheritance, Abstraction, Package and Interface, Exception Handling, Multithreading, Collection API, Lambda Expression, TreeSet, HashSet, LinkedHashSet, Collection Heirarchy",This Java Community session is intended to assist tech enthusiasts in learning the most popular programming language in the technology sector. This course covers the majority of Java Language features in great detail. These classes don't require any prerequisites.,44
C Sharp Programming,,C# Programming,"Understanding .NET SDK CLI ,creatingbuilding & running first project., Framework vs Language, C# is case senstive and understanding compile errors in CLI., Creating projects using visual studio, Project and Solution in visual studio, Building and compile using visual studio, Difference between C# and .NET, CLR, Architecture of .NET Framework, C# Operators, C# Operator Precedence & Associativity, C# Bitwise Operators, C# Arrays, C# Multidimensional Arrays, C# Inheritance, C# using, C# Type Conversion & Casting, C# Preprocessor Directives",Learn the fundamentals of C# programming.,45
Complete iOS 16 Developer with SwiftUI and 8 Apps,Hitesh Choudhary,Complete iOS 16 Developer with SwiftUI and 8 Apps," Introduction to iOS development,  Xcode,  Operators and Range in Swift,  String and interpolation ,  Array and methods in Array in swift,  Dictionary in depth in swift,  Sets in swift programming,  Tuples in swift,  Structs in swift,  Structs Vs Class, Building Project 1 - Profile app, Project 2 - Custom shape and slots, Project 3 - Calculator with animation, Project 4 Splash screen, Project 5 - Shopping app with multi screen",Learn iOS development with SwiftUI and building a lot of apps.,46
Complete iOS 16 Developer with Swift and 8 Apps,Hitesh Choudhary,Complete iOS 16 Developer with Swift and 8 Apps," Introduction to iOS development,  Xcode,  Operators and Range in Swift,  String and interpolation ,  Array and methods in Array in swift,  Dictionary in depth in swift,  Sets in swift programming,  Tuples in swift,  Structs in swift,  Structs Vs Class, Building Project 1 - Profile app, Project 2 - Custom shape and slots, Project 3 - Calculator with animation, Project 4 Splash screen, Project 5 - Shopping app with multi screen",Learn iOS development with SwiftUI and building a lot of apps.,47
Full Stack Java Developer,Navin Reddy,Full Stack Java Developer Course,"Fundamentals of Programming, Core Java (Detailed) , JDBC, JEE (Servlets, JSP, and Thymleaf ), Hibernate and JPA specifications , Spring Core, Spring Boot, Spring JDBC, Spring ORM, Spring Data JPA, Spring AOP, Spring MVC, Spring REST, Microservices and Realtime tools(Maven, Gradle, Log4J, Junit, Splunk, Putty, Jacacco), Docker and Kubernetes, Agile and Scrum, Git and Github, HTML and CSS, Javascript, React js, SQL - Mysql, NoSQL - MongoDB","This Full Stack Java Developer course is designed to give students a comprehensive understanding of the skills necessary to become a full-stack Java developer. Throughout the course, students will learn the core concepts of Java programming language, as well as the essential skills required for developing and deploying robust web applications. The course will also cover a range of front-end and back-end development frameworks and tools to give students a complete understanding of the entire web development Courses Online, Students will be introduced to Java programming language, its syntax, and fundamental concepts, including object-oriented programming, data structures, and algorithms. They will also learn how to use Java development tools such as IntelliJ IDEA, Eclipse, and NetBeans to write, debug and run Java programs.",48
Be A DevOps Pro Tech Neuron,Hitesh Choudhary,"Be A DevOps Pro Tech Neuron, DevOps course, DevOps Certification Course","Devops, Linux, Git, AWS, Docker, Ansible, Kubernetes, Terraform, CI CD Pipelines, Argo CD, Promethus, Grafana","DevOps, which is a mix of cultural principles, practices, and technologies such as Linux foundations, Docker, Kubernetes, Ansible, Terraform, ArgoCD, AWS Cloud, Git, Git, Prometheus, and others, increases an organization's capacity to build applications and services at high velocity. Become a DevOps master and increase the velocity of production now. This comprehensive DevOps Developer Course is designed to equip students with the necessary skills and knowledge to succeed as a DevOps professional in today's fast-paced, agile development environment. The course is aimed at beginners and experienced developers who wish to learn about DevOps practices and how to implement them in their projects. Students will learn how to build, test, deploy, and manage applications using DevOps principles and tools throughout the course. They will gain hands-on experience in DevOps tools such as DevOps, Linux, Git, AWS, Docker, Ansible, Kubernetes, Terraform, CI CD Pipelines, Argo CD, Prometheus, and Grafana. The course will cover infrastructure automation, continuous integration, delivery, monitoring, and security.",49
